District Name;Stadt or Landkreis;cases per 100k;IR 7 per 100k;Population;cases;Last Update Date;AGS-Number
Mayen-Koblenz;Landkreis;2894.13059496162;188.86930244271;214434.0;6206.0;21.04.2021, 00:00 Uhr;07137
Neuwied;Landkreis;3876.68138131732;168.480014878755;182811.0;7087.0;21.04.2021, 00:00 Uhr;07138
Rhein-Hunsrück-Kreis;Landkreis;3142.59957542918;130.860870660993;103163.0;3242.0;21.04.2021, 00:00 Uhr;07140
Rhein-Lahn-Kreis;Landkreis;2861.06772856243;90.7626515777165;122297.0;3499.0;21.04.2021, 00:00 Uhr;07141
Westerwaldkreis;Landkreis;2998.45471114985;120.354227751803;201904.0;6054.0;21.04.2021, 00:00 Uhr;07143
Trier;Kreisfreie Stadt;2104.4042751596;95.0433971738039;111528.0;2347.0;21.04.2021, 00:00 Uhr;07211
Bernkastel-Wittlich;Landkreis;2235.00440066499;113.794973462657;112483.0;2514.0;21.04.2021, 00:00 Uhr;07231
Eifelkreis Bitburg-Prüm;Landkreis;2911.42562942922;72.684689777706;99058.0;2884.0;21.04.2021, 00:00 Uhr;07232
Vulkaneifel;Landkreis;2979.58645252778;100.583715331596;60646.0;1807.0;21.04.2021, 00:00 Uhr;07233
Trier-Saarburg;Landkreis;2592.40418211757;101.741656514813;149398.0;3873.0;21.04.2021, 00:00 Uhr;07235
Frankenthal (Pfalz);Kreisfreie Stadt;3806.24256593249;145.605184364874;48762.0;1856.0;21.04.2021, 00:00 Uhr;07311
Kaiserslautern;Kreisfreie Stadt;2911.1266620014;129.961011696491;100030.0;2912.0;21.04.2021, 00:00 Uhr;07312
Landau in der Pfalz;Kreisfreie Stadt;2928.69179411702;132.249738700113;46881.0;1373.0;21.04.2021, 00:00 Uhr;07313
Ludwigshafen am Rhein;Kreisfreie Stadt;5169.14074065474;254.857680272622;172253.0;8904.0;21.04.2021, 00:00 Uhr;07314
Mainz;Kreisfreie Stadt;3873.21688367539;196.26860891764;218578.0;8466.0;21.04.2021, 00:00 Uhr;07315
Neustadt an der Weinstraße;Kreisfreie Stadt;2780.48963652749;93.8720336437369;53264.0;1481.0;21.04.2021, 00:00 Uhr;07316
Pirmasens;Kreisfreie Stadt;2975.31754119957;201.337277224031;40231.0;1197.0;21.04.2021, 00:00 Uhr;07317
Speyer;Kreisfreie Stadt;4883.21037954154;178.002808488756;50561.0;2469.0;21.04.2021, 00:00 Uhr;07318
Worms;Kreisfreie Stadt;4163.17540877642;216.657489645927;83542.0;3478.0;21.04.2021, 00:00 Uhr;07319
Zweibrücken;Kreisfreie Stadt;1772.29257450355;99.4355569853479;34193.0;606.0;21.04.2021, 00:00 Uhr;07320
Alzey-Worms;Landkreis;3335.723703995;142.651152389985;129687.0;4326.0;21.04.2021, 00:00 Uhr;07331
